key_resp_3.keys,key_resp_3.rt,slider.response,slider.rt,rjt_rating,rjt_RT,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_22.ran,rjt_order,word1,word2,attention,participant,session,date,expName,psychopyVersion,OS,frameRate,trials_99.thisRepN,trials_99.thisTrialN,trials_99.thisN,trials_99.thisIndex,trials_99.ran,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,repOne,repTwo,slider_2.response,slider_2.rt,trials_24.thisRepN,trials_24.thisTrialN,trials_24.thisN,trials_24.thisIndex,trials_24.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,slider_extend_2.response,slider_extend_2.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,vCue2,R1,R2,R3,R4,correct
,,5,3.3965,5,3.3965,0,10,10,73,1,50,carrot,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.3398,7,2.3398,0,11,11,68,1,24,cookie,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.8371,6,1.8371,0,12,12,8,1,43,chocolate,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,3.8653,2,3.8653,0,13,13,55,1,1,rose,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.7445,4,2.7445,0,14,14,22,1,16,chocolate,flower,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.0198,6,2.0198,0,15,15,75,1,69,carrot,refrigerator,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.764,4,1.764,0,16,16,34,1,29,chocolate,melon,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2.6123,1,2.6123,0,17,17,70,1,5,oven,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2.3421,5,2.3421,0,18,18,91,1,2,kitchen,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.6581,1,1.6581,0,19,19,85,1,90,cactus,cake,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.9725,7,2.9725,0,20,20,80,1,61,strawberry,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.7312,4,2.7312,0,21,21,77,1,7,melon,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2.5075,8,2.5075,0,22,22,30,1,3,cake,oven,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2.1288,1,2.1288,0,23,23,43,1,11,refrigerator,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.8986,2,1.8986,0,24,24,5,1,13,broom,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.72,1,1.72,0,25,25,17,1,27,cactus,cookie,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.3803,9,2.3803,0,26,26,19,1,76,garden,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,5.3538,3,5.3538,0,27,27,90,1,95,broom,refrigerator,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.6292,2,1.6292,0,28,28,31,1,33,oven,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.1538,3,2.1538,0,29,29,37,1,58,garden,oven,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.6747,2,1.6747,0,30,30,84,1,91,microwave,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.8979,6,2.8979,0,31,31,51,1,47,onion,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.688,6,1.688,0,32,32,24,1,17,carrot,melon,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2.3365,8,2.3365,0,33,33,93,1,63,cake,cookie,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.6115,4,1.6115,0,34,34,60,1,89,chocolate,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,3.6404,8,3.6404,0,35,35,82,1,93,kitchen,oven,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.8107,2,1.8107,0,36,36,14,1,64,chocolate,garden,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.7036,1,1.7036,0,37,37,18,1,85,cake,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,1.7813,8,1.7813,0,38,38,21,1,56,cactus,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.0787,3,2.0787,0,39,39,61,1,71,broom,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.0533,6,2.0533,0,40,40,6,1,87,carrot,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.7064,3,2.7064,0,41,41,62,1,18,onion,refrigerator,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.0968,3,2.0968,0,42,42,79,1,86,oven,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.2248,6,2.2248,0,43,43,48,1,66,melon,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.9641,6,2.9641,0,44,44,78,1,30,cookie,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.5254,6,1.5254,0,45,45,2,1,22,kitchen,strawberry,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.8982,1,1.8982,0,46,46,47,1,73,broom,chocolate,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.3936,4,2.3936,0,47,47,69,1,45,onion,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2.6648,2,2.6648,0,48,48,38,1,88,cactus,melon,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.7436,1,1.7436,0,49,49,59,1,8,broom,melon,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2.5129,5,2.5129,0,50,50,74,1,70,chocolate,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,7.8371,4,7.8371,0,51,51,13,1,26,tomato,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,4.6141,7,4.6141,0,52,52,83,1,6,garden,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.0379,3,2.0379,0,53,53,81,1,60,cactus,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.7235,6,1.7235,0,54,54,96,1,82,cake,kitchen,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.6798,6,1.6798,0,55,55,3,1,49,flower,strawberry,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.5982,1,1.5982,0,56,56,1,1,31,cactus,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.9272,6,2.9272,0,57,57,86,1,51,onion,strawberry,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,4.7742,6,4.7742,0,58,58,50,1,81,pretzel,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.665,7,1.665,0,59,59,49,1,57,flower,kitchen,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2.0445,2,2.0445,0,60,60,15,1,48,flower,oven,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.2714,3,2.2714,0,61,61,56,1,78,cookie,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.7323,9,1.7323,0,62,62,58,1,94,kitchen,microwave,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.5906,1,1.5906,0,63,63,46,1,41,broom,cactus,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.3721,6,2.3721,0,64,64,39,1,15,onion,oven,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,4.8413,6,4.8413,0,65,65,36,1,12,cookie,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,3.9044,3,3.9044,0,66,66,4,1,83,broom,carrot,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.8224,3,2.8224,0,67,67,41,1,19,microwave,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.292,6,2.292,0,68,68,29,1,42,garden,kitchen,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2.4954,5,2.4954,0,69,69,92,1,44,cookie,melon,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.6381,3,1.6381,0,70,70,40,1,74,broom,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.9367,2,1.9367,0,71,71,7,1,34,melon,oven,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.0599,9,2.0599,0,72,72,53,1,192,microwave,microwave,CHECK,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.129,3,2.129,0,73,73,28,1,84,oven,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.7928,4,2.7928,0,74,74,33,1,32,cake,microwave,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.4041,3,1.4041,0,75,75,27,1,72,broom,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.755,6,1.755,0,76,76,72,1,59,rose,strawberry,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,104.8426,4,104.8426,0,77,77,65,1,46,garden,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.7375,4,1.7375,0,78,78,63,1,21,cake,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.7037,7,1.7037,0,79,79,44,1,25,carrot,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.794,6,1.794,0,80,80,87,1,79,garden,strawberry,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.4864,9,1.4864,0,81,81,64,1,9,kitchen,refrigerator,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.6383,6,1.6383,0,82,82,57,1,62,kitchen,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.4056,2,1.4056,0,83,83,0,1,53,garden,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.2037,9,1.2037,0,84,84,10,1,191,cake,cake,CHECK,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,3.4114,4,3.4114,0,85,85,88,1,92,broom,flower,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,3.1554,2,3.1554,0,86,86,32,1,40,broom,cake,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.37,3,2.37,0,87,87,26,1,35,flower,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,3.3755,5,3.3755,0,88,88,54,1,28,cake,melon,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.9465,7,1.9465,0,89,89,35,1,55,tomato,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.6585,2,1.6585,0,90,90,16,1,14,broom,cookie,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.7264,7,1.7264,0,91,91,95,1,52,carrot,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.5451,3,2.5451,0,92,92,89,1,80,chocolate,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.6067,3,2.6067,0,93,93,23,1,65,broom,garden,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2.1413,2,2.1413,0,94,94,71,1,38,pretzel,refrigerator,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.8048,7,1.8048,0,95,95,67,1,54,chocolate,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,3.8801,4,3.8801,0,96,96,25,1,23,flower,microwave,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,77.0741,,,,,,157,refrigerator,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,5,77.0741,0,0,0,64,1,,,,,,,,,,,,,,,,,,
,,,,9,1.5735,,,,,,138,flower,rose,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,9,1.5735,0,1,1,61,1,,,,,,,,,,,,,,,,,,
,,,,3,2.3705,,,,,,108,carrot,chocolate,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,3,2.3705,0,2,2,5,1,,,,,,,,,,,,,,,,,,
,,,,6,1.3715,,,,,,166,cake,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,6,1.3715,0,3,3,91,1,,,,,,,,,,,,,,,,,,
,,,,7,1.4419,,,,,,154,strawberry,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,7,1.4419,0,4,4,28,1,,,,,,,,,,,,,,,,,,
,,,,9,1.5894,,,,,,100,garden,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,9,1.5894,0,5,5,83,1,,,,,,,,,,,,,,,,,,
,,,,6,1.4876,,,,,,175,melon,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,6,1.4876,0,6,6,41,1,,,,,,,,,,,,,,,,,,
,,,,4,1.2709,,,,,,144,cake,garden,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,4,1.2709,0,7,7,58,1,,,,,,,,,,,,,,,,,,
