key_resp_3.keys,key_resp_3.rt,slider.response,slider.rt,rjt_rating,rjt_RT,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_22.ran,rjt_order,word1,word2,attention,participant,session,date,expName,psychopyVersion,OS,frameRate,trials_99.thisRepN,trials_99.thisTrialN,trials_99.thisN,trials_99.thisIndex,trials_99.ran,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,repOne,repTwo,slider_2.response,slider_2.rt,trials_24.thisRepN,trials_24.thisTrialN,trials_24.thisN,trials_24.thisIndex,trials_24.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,slider_extend_2.response,slider_extend_2.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,vCue2,R1,R2,R3,R4,correct,sliderVocab.response,sliderVocab.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,VocabCue,VR1,VR2,VR3,VR4,VR5,VocabCorrect,AUT_resp,AUT_label,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,aut_prompt
,,1,1.8582,1,1.8582,0,10,10,35,1,55,tomato,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2.0569,1,2.0569,0,11,11,56,1,78,cookie,rose,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.3968,1,1.3968,0,12,12,14,1,64,chocolate,garden,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2.3964,1,2.3964,0,13,13,92,1,44,cookie,melon,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2.2541,8,2.2541,0,14,14,19,1,76,garden,rose,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.0758,4,2.0758,0,15,15,71,1,38,pretzel,refrigerator,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.4612,2,1.4612,0,16,16,32,1,40,broom,cake,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.0995,2,1.0995,0,17,17,40,1,74,broom,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.4896,9,2.4896,0,18,18,58,1,94,kitchen,microwave,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.6028,3,1.6028,0,19,19,7,1,34,melon,oven,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.6245,3,1.6245,0,20,20,62,1,18,onion,refrigerator,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.908,7,1.908,0,21,21,96,1,82,cake,kitchen,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.8051,3,1.8051,0,22,22,15,1,48,flower,oven,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.8977,3,1.8977,0,23,23,16,1,14,broom,cookie,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.2326,3,1.2326,0,24,24,43,1,11,refrigerator,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,1.7489,8,1.7489,0,25,25,69,1,45,onion,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.4067,3,1.4067,0,26,26,11,1,37,garden,refrigerator,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.5976,2,1.5976,0,27,27,4,1,83,broom,carrot,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.5734,2,1.5734,0,28,28,79,1,86,oven,rose,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.8824,2,0.8824,0,29,29,88,1,92,broom,flower,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.326,7,1.326,0,30,30,95,1,52,carrot,tomato,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.1467,4,1.1467,0,31,31,72,1,59,rose,strawberry,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.4473,3,1.4473,0,32,32,94,1,68,flower,tomato,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.0066,3,1.0066,0,33,33,41,1,19,microwave,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.0413,3,1.0413,0,34,34,81,1,60,cactus,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.9269,3,0.9269,0,35,35,23,1,65,broom,garden,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.9925,3,0.9925,0,36,36,46,1,41,broom,cactus,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.156,3,1.156,0,37,37,55,1,1,rose,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.0995,3,1.0995,0,38,38,25,1,23,flower,microwave,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.8243,2,0.8243,0,39,39,61,1,71,broom,rose,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.9904,2,0.9904,0,40,40,47,1,73,broom,chocolate,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,1.2343,8,1.2343,0,41,41,13,1,26,tomato,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.1409,4,1.1409,0,42,42,37,1,58,garden,oven,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.1574,7,2.1574,0,43,43,63,1,21,cake,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.2986,7,1.2986,0,44,44,2,1,22,kitchen,strawberry,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.1149,7,1.1149,0,45,45,91,1,2,kitchen,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.7781,7,0.7781,0,46,46,36,1,12,cookie,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.3299,2,1.3299,0,47,47,77,1,7,melon,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.1071,6,1.1071,0,48,48,54,1,28,cake,melon,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.139,4,1.139,0,49,49,83,1,6,garden,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.5559,6,1.5559,0,50,50,33,1,32,cake,microwave,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.6856,9,1.6856,0,51,51,10,1,191,cake,cake,CHECK,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.4473,3,2.4473,0,52,52,73,1,50,carrot,rose,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2.6818,8,2.6818,0,53,53,50,1,81,pretzel,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.4581,3,1.4581,0,54,54,59,1,8,broom,melon,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.2615,7,1.2615,0,55,55,9,1,75,cookie,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.9391,7,0.9391,0,56,56,44,1,25,carrot,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2.9319,8,2.9319,0,57,57,64,1,9,kitchen,refrigerator,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.3076,7,1.3076,0,58,58,74,1,70,chocolate,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2.1576,2,2.1576,0,59,59,38,1,88,cactus,melon,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.8823,2,0.8823,0,60,60,90,1,95,broom,refrigerator,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,1.5201,8,1.5201,0,61,61,51,1,47,onion,tomato,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.437,3,1.437,0,62,62,21,1,56,cactus,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.3908,3,1.3908,0,63,63,65,1,46,garden,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.1748,3,1.1748,0,64,64,27,1,72,broom,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,1.3736,8,1.3736,0,65,65,75,1,69,carrot,refrigerator,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,1.7457,8,1.7457,0,66,66,67,1,54,chocolate,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.3623,2,1.3623,0,67,67,60,1,89,chocolate,rose,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.1065,2,1.1065,0,68,68,39,1,15,onion,oven,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.1903,2,1.1903,0,69,69,29,1,42,garden,kitchen,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.1721,2,1.1721,0,70,70,3,1,49,flower,strawberry,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.0586,2,1.0586,0,71,71,31,1,33,oven,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.474,7,1.474,0,72,72,78,1,30,cookie,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.7094,2,1.7094,0,73,73,26,1,35,flower,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.5708,2,1.5708,0,74,74,17,1,27,cactus,cookie,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.0731,2,1.0731,0,75,75,89,1,80,chocolate,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.9689,2,0.9689,0,76,76,66,1,20,rose,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.5542,2,1.5542,0,77,77,12,1,67,flower,yogurt,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.7477,7,1.7477,0,78,78,86,1,51,onion,strawberry,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.0659,7,1.0659,0,79,79,52,1,4,chocolate,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.4908,3,1.4908,0,80,80,0,1,53,garden,pretzel,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.8452,3,1.8452,0,81,81,28,1,84,oven,tomato,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.0507,3,1.0507,0,82,82,45,1,10,flower,onion,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.2902,3,1.2902,0,83,83,18,1,85,cake,tree,,89389,001,2022-04-22_09h24.36.526,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
