key_resp_3.keys,key_resp_3.rt,slider_2.response,slider_2.rt,rjt_rating,rjt_RT,trials_24.thisRepN,trials_24.thisTrialN,trials_24.thisN,trials_24.thisIndex,trials_24.ran,rjt_order,word1,word2,attention,participant,session,date,expName,psychopyVersion,OS,frameRate,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,repOne,repTwo,slider.response,slider.rt,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_22.ran,trials_99.thisRepN,trials_99.thisTrialN,trials_99.thisN,trials_99.thisIndex,trials_99.ran,slider_extend_2.response,slider_extend_2.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,vCue2,R1,R2,R3,R4,correct,sliderVocab.response,sliderVocab.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,VocabCue,VR1,VR2,VR3,VR4,VR5,VocabCorrect,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,aut_prompt,VF_response,VF_tag,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,trials_16.ran,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_17.ran,VFcond,open_slider.response,open_slider.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,OpenQ,Rev,OPEN_ORDER,key_resp_2.keys,key_resp_2.rt
,,1,3.5522,1,3.5522,0,10,10,95,1,121,broom,microwave,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.4869,9,1.4869,0,11,11,90,1,190,microwave,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2.0684,1,2.0684,0,12,12,54,1,101,cactus,kitchen,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.5653,1,1.5653,0,13,13,75,1,178,cactus,carrot,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.2583,4,1.2583,0,14,14,60,1,122,flower,garden,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.128,6,1.128,0,15,15,73,1,135,carrot,oven,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,1.2041,5,1.2041,0,16,16,23,1,148,flower,melon,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.5614,4,2.5614,0,17,17,80,1,146,pretzel,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.1247,6,1.1247,0,18,18,38,1,155,carrot,cookie,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.3775,9,2.3775,0,19,19,86,1,193,melon,melon,CHECK,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.7516,9,1.7516,0,20,20,69,1,124,oven,refrigerator,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.5102,1,1.5102,0,21,21,13,1,105,cactus,oven,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.6525,1,0.6525,0,22,22,31,1,156,melon,rose,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.2873,7,1.2873,0,23,23,44,1,116,cake,chocolate,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.1465,4,0.1465,0,24,24,15,1,145,cactus,yogurt,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.0023,6,1.0023,0,25,25,66,1,150,microwave,refrigerator,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.1994,6,0.1994,0,26,26,9,1,176,cactus,tomato,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.1559,6,0.1559,0,27,27,30,1,125,carrot,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.3126,5,0.3126,0,28,28,61,1,138,flower,rose,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.1715,5,0.1715,0,29,29,94,1,133,cake,flower,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.5794,5,0.5794,0,30,30,53,1,177,chocolate,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.1379,5,0.1379,0,31,31,83,1,100,garden,tomato,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.1054,4,1.1054,0,32,32,18,1,119,strawberry,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.2695,7,0.2695,0,33,33,48,1,186,kitchen,yogurt,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.2408,7,0.2408,0,34,34,25,1,194,cactus,cactus,CHECK,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.1031,7,0.1031,0,35,35,76,1,102,chocolate,refrigerator,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.5849,7,1.5849,0,36,36,77,1,172,kitchen,melon,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.3233,6,0.3233,0,37,37,55,1,143,pretzel,rose,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.0385,6,0.0385,0,38,38,93,1,134,carrot,flower,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.0323,6,0.0323,0,39,39,45,1,179,broom,oven,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.2322,6,0.2322,0,40,40,40,1,165,onion,rose,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.1053,6,0.1053,0,41,41,43,1,185,cactus,rose,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.2641,6,1.2641,0,42,42,46,1,123,cookie,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.0491,6,0.0491,0,43,43,78,1,132,broom,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.1745,6,0.1745,0,44,44,1,1,173,kitchen,tomato,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.2638,6,0.2638,0,45,45,26,1,107,rose,tomato,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.153,6,0.153,0,46,46,50,1,126,kitchen,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.1742,6,0.1742,0,47,47,12,1,162,microwave,tomato,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.1322,6,0.1322,0,48,48,3,1,129,cactus,refrigerator,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.2823,4,1.2823,0,49,49,91,1,166,cake,yogurt,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.1805,4,0.1805,0,50,50,59,1,164,cookie,garden,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.1532,4,0.1532,0,51,51,72,1,181,carrot,kitchen,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,2.0433,8,2.0433,0,52,52,37,1,139,carrot,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,0.02,8,0.02,0,53,53,42,1,184,oven,pretzel,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,0.5264,8,0.5264,0,54,54,67,1,96,oven,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,4.7856,5,4.7856,0,55,55,10,1,118,chocolate,oven,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.4692,6,1.4692,0,56,56,11,1,117,melon,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6334,6,0.6334,0,57,57,21,1,159,cookie,flower,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.5054,6,0.5054,0,58,58,68,1,180,tree,yogurt,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,3.7036,3,3.7036,0,59,59,71,1,187,cactus,microwave,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.0046,4,1.0046,0,60,60,33,1,131,cactus,garden,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.8357,6,0.8357,0,61,61,35,1,147,cake,refrigerator,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.2384,4,1.2384,0,62,62,41,1,175,melon,onion,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.632,4,0.632,0,63,63,4,1,109,broom,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.6031,4,0.6031,0,64,64,56,1,113,refrigerator,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.7054,6,0.7054,0,65,65,28,1,154,strawberry,yogurt,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.0686,4,1.0686,0,66,66,47,1,167,carrot,garden,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6528,6,0.6528,0,67,67,0,1,106,cake,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.5644,4,0.5644,0,68,68,57,1,127,cactus,chocolate,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.0924,4,0.0924,0,69,69,24,1,169,onion,yogurt,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.083,3,0.083,0,70,70,82,1,98,pretzel,strawberry,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.5201,4,0.5201,0,71,71,19,1,183,cake,rose,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.8859,6,0.8859,0,72,72,62,1,189,onion,tree,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.4436,6,0.4436,0,73,73,74,1,128,melon,microwave,,90468,001,2022-04-29_12h08.20.832,SPAMnetsValid,2021.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
